checkpoint,refcoco_val,refcocop_val,refcocog_val,average
0,32.65,29.65,45.050000000000004,35.78333333333333
100,88.4,83.2,83.75,85.11666666666667
200,87.9,83.5,83.89999999999999,85.10000000000001
300,89.2,84.1,85.5,86.26666666666667
400,89.4,84.5,85.25,86.38333333333333
500,90.25,85.3,85.6,87.05
1000,89.5,84.7,86.15,86.78333333333335
2000,90.64999999999999,84.89999999999999,86.85000000000001,87.46666666666665
3000,90.95,85.7,87.4,88.01666666666667
4000,90.9,85.8,87.5,88.06666666666666
5000,90.9,85.39999999999999,87.15,87.81666666666668
